OLD_TICKER,NEW_TICKER,CHANGE_DATE
SHRMHONDA,HONDAPOWER,04-Apr-06
TATAHONEY,HONAUT,24-Mar-05
AKRUTI,ACKRUTI,30-Jun-09
ACKRUTI,HUBTOWN,15-Nov-11
PAPERPROD,HUHTAMAKI,26-Nov-20
ICICIFMCG,FMCGIETF,20-Dec-23
ICICIPHARM,HEALTHIETF,20-Dec-23
ICICITECH,ITIETF,20-Dec-23
ICICIM150,MIDCAPIETF,20-Dec-23
ICICI10GS,GSEC10IETF,20-Dec-23
ICICI500,BSE500IETF,20-Dec-23
ICICILIQ,LIQUIDIETF,20-Dec-23
IPRU5008,ICICIBANKN,19-Jul-19
IGOLD,GOLDIWIN,25-Jul-16
GOLDIWIN,ICICIGOLD,10-Apr-18
IPGETF,IGOLD,05-May-14
IPRU8112,IPRU8122,16-Dec-13
ICICIQTY30,QUAL30IETF,20-Dec-23
IMIDCAP,MIDCAPIWIN,25-Jul-16
MIDCAPIWIN,ICICIMCAP,10-Apr-18
ICICIMOM30,MOM30IETF,20-Dec-23
BHARATIWIN,ICICIB22,19-Apr-18
ICICIFIN,FINIETF,20-Dec-23
ICICIAUTO,AUTOIETF,20-Dec-23
ICICICOMMO,COMMOIETF,20-Dec-23
ICICINXT50,NEXT50IETF,20-Dec-23
PSUBANKICI,PSUBNKIETF,20-Dec-23
ICICISILVE,SILVERIETF,20-Dec-23
ICICIINFRA,INFRAIETF,20-Dec-23
INV20,NV20IWIN,25-Jul-16
NV20IWIN,ICICINV20,10-Apr-18
ICNX100,NIF100IWIN,25-Jul-16
NIF100IWIN,ICICINF100,10-Apr-18
ICCNX100,ICNX100,05-May-14
ICICI5GSEC,GSEC5IETF,20-Dec-23
ICICIALPLV,ALPL30IETF,20-Dec-23
INIFTY,NIFTYIWIN,25-Jul-16
NIFTYIWIN,ICICINIFTY,10-Apr-18
NIFETF,INIFTY,05-May-14
ICICICONSU,CONSUMIETF,20-Dec-23
LOWVOLIWIN,ICICILOVOL,10-Apr-18
ICICIBANKP,PVTBANIETF,20-Dec-23
ISENSEX,SENSEXIWIN,25-Jul-16
SPICE,ISENSEX,18-Aug-14
SENSEXIWIN,ICICISENSX,10-Apr-18
IDFCBANK,IDFCFIRSTB,16-Jan-19
IGPETRO,IGPL,29-Jan-07
IIFLSEC,IIFLCAPS,03-Dec-24
INDIAINFO,IIFL,13-Mar-14
MAYTASINFR,IL&FSENGG,08-Feb-11
ILFSTRANS,IL&FSTRANS,16-Apr-10
ADHUNIKIND,INCREDIBLE,20-May-21
LANABS,INEABS,21-Jul-08
INEABS,STYABS,20-Jun-12
ABSIND,LANABS,14-Jun-05
STYABS,INEOSSTYRO,04-Apr-16
VYSYABANK,INGVYSYABK,16-Aug-05
IOLB,IOLN,18-Feb-08
TRAFALHSE,ITDCEM,16-Aug-05
IVRPRIME,IVRCLAH,13-Apr-10
LOGIXMICRO,IZMO,15-May-15
CGIGARSH,IGARASHI,21-Apr-05
ADLABS,IMAGICAA,22-Apr-20
INDBANKMER,INDBANK,08-Oct-08
IIISL,IIFLFIN,27-Aug-12
INDOCOUNT,ICIL,12-Sep-05
BHINVIT,INDUSINVIT,23-Jan-25
INDUSINVIT,INDUSINVIT,23-Jan-25
INFRATEL,INDUSTOWER,18-Dec-20
TATAPRESS,TATAINFO,17-Sep-03
INFOSYSTCH,INFY,29-Jun-11
IILTD,INSECTICID,11-May-09
AFL,INSPIRISYS,12-Oct-18
INDINFR,INTERISE,12-Nov-24
INTERISE,INTERISE,12-Nov-24
RELIGAREGO,IVZINGOLD,23-Jun-16
RELGRNIFTY,IVZINNIFTY,23-Jun-16
RIMFAI1BDG,IVZINA1BDG,23-Jun-16
RIMFAI1BRG,IVZINA1BRG,23-Jun-16
JBMAUTOCOM,JBMA,04-Jan-06
JAYSYNTDYE,JDORGO,13-Sep-04
JINDALSWHL,JSWHL,30-Jul-13
